Comment,Designator,Footprint,PartNumber
1N4148w,VD3,SOD2412X80N,1N4148w
IRLML6402,VT1,SOT23_132,IRLML6402
2N7002,VT2,SOT23_132,2N7002
U.FL,"X1, X2, X5",U.FL-R-SMT-1,U.FL-R-SMT-1
18-Connector,X3,PLS-18,PLS-18 Pitch 2.54 angle
LCD_TFT_40PIN,X4,FPC Connector 0.5mm pitch 40pin,FPC Connector 0.5mm pitch 40pin
DM3AT-SF-PEJM5,X6,SD-card,DM3AT-SF-PEJM5
SPEAKER,X7,AUDIO1.25,JST Pitch 1.25mm
USB_A,X8,CUI_UJ2-AH-4-SMT,
USB_C,X9,TYPE-C-31-M-12,TYPE-C-31-M-12
USB_3_RESV,X10,STIFTLEISTE2_54 OG 1R-4,
USB_4_RESV,X11,STIFTLEISTE2_54 OG 1R-4,
18-Connector,X12,FPC Connector 0.5mm pitch 18pin,FPC Connector 0.5mm pitch 18pin
VIN +5V,X13,JST_B4B-PH-K(LF)(SN),JST_B4B-PH-K(LF)(SN)
VALCODER,X14,JST_S4B,S4B-PH-SM4-TB (LF)(SN)
RJE291660014G,X15,RJE291660014G_SH,RJE291660014G
HR911130A,X16,HR911130A,HR911130A
"VCXO 122,88",Y1,"VCXO 122,88 MHz","VCXO 122,88 MHz"
24 MHz,Z1,OSCCC320X250X60N,24 MHz 3225
