Altium Designer Pick and Place Locations
Pick Place for BRASS_SDR(V1.1).csv

========================================================================================================================
File Design Information:

Date:       21.10.24
Time:       15:10
Revision:   Not in VersionControl
Variant:    V1.0
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Pad-X(mm)"",""Pad-Y(mm)"",""Rotation"",""Layer"",""Comment"""
"U17,""LGA8"",""144.3000mm"",""34.5500mm"",""144.3000mm"",""34.5500mm"",""140.7000mm"",""32.6450mm"",""0"",""BottomLayer"",""ZDSD64GLGIAG"""
"U18,""SOT23-5"",""136.7137mm"",""33.0760mm"",""135.7637mm"",""34.3760mm"",""135.7637mm"",""34.3760mm"",""270"",""BottomLayer"",""XC6219B182MR"""
"U19,""QFN50P500X500X80-33N"",""115.6000mm"",""74.9750mm"",""115.6000mm"",""74.9750mm"",""118.0500mm"",""76.7250mm"",""180"",""BottomLayer"",""NAU88C22YG"""
"U20,""QFN50P600X600X90-37T375"",""157.8250mm"",""89.7500mm"",""157.8250mm"",""89.7500mm"",""160.7750mm"",""91.7500mm"",""180"",""BottomLayer"",""USB2514/USB2512"""
"U23,""SOT95P280X110-6N"",""168.8500mm"",""103.7500mm"",""168.8500mm"",""103.7500mm"",""167.9000mm"",""105.0050mm"",""270"",""BottomLayer"",""TPS2553DBV"""
"U24,""SOP50P490X110-10N"",""157.8000mm"",""68.4750mm"",""157.8000mm"",""68.4750mm"",""156.8000mm"",""70.6750mm"",""270"",""BottomLayer"",""ADS1015"""
"U25,""SOT23-5"",""163.4500mm"",""64.8250mm"",""164.7500mm"",""65.7750mm"",""164.7500mm"",""65.7750mm"",""180"",""BottomLayer"",""MCP6001UT"""
"U26,""SOT23-5"",""163.4500mm"",""70.1750mm"",""164.7500mm"",""71.1250mm"",""164.7500mm"",""71.1250mm"",""180"",""BottomLayer"",""MCP6001UT"""
"VD1,""SOD123"",""54.0939mm"",""3.3387mm"",""55.7314mm"",""3.1387mm"",""55.7314mm"",""3.1387mm"",""180"",""BottomLayer"",""MBR0560"""
"VD2,""SOT23_132"",""128.9000mm"",""87.6750mm"",""128.9750mm"",""87.6750mm"",""128.0250mm"",""88.8750mm"",""270"",""BottomLayer"",""BAT54C"""
"VD3,""SOD2412X80N"",""175.3000mm"",""68.3750mm"",""175.3000mm"",""68.3750mm"",""175.3000mm"",""69.4600mm"",""270"",""BottomLayer"",""1N4148w"""
"VT1,""SOT23_132"",""30.9500mm"",""42.8000mm"",""30.9500mm"",""42.8750mm"",""29.7500mm"",""41.9250mm"",""0"",""BottomLayer"",""IRLML6402"""
"VT2,""SOT23_132"",""30.9750mm"",""37.8250mm"",""30.9000mm"",""37.8250mm"",""31.8500mm"",""36.6250mm"",""90"",""BottomLayer"",""2N7002"""
"X1,""U.FL-R-SMT-1"",""19.1377mm"",""75.9500mm"",""18.3750mm"",""75.9500mm"",""19.9002mm"",""75.9500mm"",""90"",""BottomLayer"",""U.FL"""
"X2,""U.FL-R-SMT-1"",""19.1377mm"",""100.5750mm"",""18.3750mm"",""100.5750mm"",""19.9002mm"",""100.5750mm"",""90"",""BottomLayer"",""U.FL"""
"X3,""PLS-18"",""8.1500mm"",""54.2350mm"",""8.1500mm"",""44.0750mm"",""8.1500mm"",""32.6450mm"",""90"",""BottomLayer"",""18-Connector"""
"X4,""687140149022"",""61.3520mm"",""44.9500mm"",""61.3540mm"",""43.2000mm"",""51.6000mm"",""43.2000mm"",""180"",""TopLayer"",""LCD_TFT_40PIN"""
"X5,""U.FL-R-SMT-1"",""19.1262mm"",""55.3411mm"",""18.3635mm"",""55.3411mm"",""19.8887mm"",""55.3411mm"",""90"",""BottomLayer"",""U.FL"""
"X6,""SD-card"",""181.3750mm"",""8.1000mm"",""173.7500mm"",""5.5000mm"",""173.7500mm"",""5.5000mm"",""270"",""BottomLayer"",""DM3AT-SF-PEJM5"""
"X7,""AUDIO1.25"",""151.2000mm"",""43.9000mm"",""153.7500mm"",""43.9000mm"",""149.7500mm"",""42.9750mm"",""90"",""TopLayer"",""SPEAKER"""
"X8,""CUI_UJ2-AH-4-SMT"",""179.5225mm"",""96.5000mm"",""177.5200mm"",""100.0000mm"",""177.4450mm"",""100.0000mm"",""270"",""BottomLayer"",""USB_A"""
"X9,""TYPE-C-31-M-12"",""186.1275mm"",""26.9250mm"",""188.6750mm"",""26.9250mm"",""184.4950mm"",""31.2450mm"",""270"",""BottomLayer"",""USB_C"""
"X12,""GCT_FFC2B28-18-G"",""117.2000mm"",""103.3500mm"",""117.2000mm"",""103.3500mm"",""112.9500mm"",""102.1000mm"",""0"",""BottomLayer"",""18-Connector"""
"X13,""JST_B4B-PH-K(LF)(SN)"",""24.4000mm"",""3.4500mm"",""24.4000mm"",""4.0000mm"",""21.4000mm"",""3.4500mm"",""180"",""BottomLayer"",""VIN +5V"""
"X14,""JST_S4B"",""167.3430mm"",""7.0500mm"",""165.8000mm"",""7.0500mm"",""164.1500mm"",""4.0500mm"",""90"",""TopLayer"",""VALCODER"""
"X15,""RJE291660014G_SH"",""183.1050mm"",""72.7150mm"",""185.5250mm"",""72.7150mm"",""180.6850mm"",""70.1650mm"",""270"",""BottomLayer"",""RJE291660014G"""
"X16,""HR911130A"",""178.6050mm"",""48.0250mm"",""180.6000mm"",""48.0250mm"",""171.7100mm"",""53.7450mm"",""90"",""BottomLayer"",""HR911130A"""
"Y1,""OCS:_GENA"",""34.8150mm"",""99.9950mm"",""33.4800mm"",""98.0750mm"",""33.5200mm"",""98.0350mm"",""0"",""BottomLayer"",""VCXO 122,88"""
"Z1,""OSCCC320X250X60N"",""158.0500mm"",""96.7750mm"",""158.0500mm"",""96.7750mm"",""156.8950mm"",""97.6050mm"",""270"",""BottomLayer"",""24 MHz"""
